PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes
Mark Willette,Replied,320-E: 6 - ocean temperature and salinity measurements,fish,766,Normal,1994,1999,NA,NA,ADFG,marine,biological-fish,
Mark Willette,Replied,230-E: 4 - recoveries of tagged juvenile salmon,fish,766,Normal,1994,1999,NA,NA,ADFG,marine,biological-fish,
Mark Willette,Emailed,Herring tal habitat data??,fish,769,Normal,1994,1998,NA,NA,ADFG,marine,biological-fish,
Greg Ruggerone,Replied,project data,fish,772,Normal,1996,1996,NA,NA,PWSAC,marine,biological-fish,
Ken Hodges,Unrecoverable,project data - origils lost,fish,773,Normal,1996,1998,NA,data lost,USFS,marine,biological-fish,
Karen Murphy,Replied,dataset,modeling,776,Normal,1998,2000,NA,NA,USFWS,marine,ecosystem/habitat,
Buddy Goatcher,Replied,"sampling locations, morphological measures, and banding data",marineBirds,778,Normal,1996,1998,NA,NA,Environmental Laboratory,marine,biological-birds,
Buddy Goatcher,Replied,genetics data,marineBirds,778,Normal,1996,1998,NA,NA,Environmental Laboratory,marine,biological-birds,
Tuula Holmen,Replied,project data,marineBirds,779,Normal,2008,2011,NA,NA,UAF,marine,biological-birds,
Joanne Jellett,Unrecoverable,project data -origils lost,inverts,785,Normal,2000,2003,NA,data lost,Jellett Biotek Limited,marine,biological-benthicInverts,
Lisa Seeb,Replied,Project Data at ADF&G -  follow-up bill templin,fish,786,Normal,1998,1999,NA,NA,UW,marine,biological-fish,
Lisa Rotterman,Replied,project data,mammals,788,Normal,1992,1992,NA,NA,NOAA,marine,biological-mammals,
Lisa Seeb,Replied,Project Data at ADF&G - follow-up with Bill Templin,fish,789,Normal,1992,1994,NA,NA,UW,marine,biological-fish,
Merav Ben-David,Unrecoverable,project data - refused,terrestrial,797,Normal,1998,2000,NA,requested funding,University of Wyming,terrestrial/freshWater,biological-mammals,
Graham Worthy,Unrecoverable,project data - origils lost,fish,798,Normal,1995,1995,NA,data lost,University of Central Florida,marine,biological-fish,
Catherine Berg,Unrecoverable,dataset - Originals lost,marineBirds,799,Normal,1992,1992,NA,data lost,DOI,marine,biological-birds,
Ted Otis,Replied,Follow-up with Ted about locating data,fish,803,Normal,1999,2001,NA,NA,ADFG,marine,biological-fish,
Vernon Byrd,Unrecoverable,No info,terrestrial,805,Normal,1994,1994,NA,no contact info,ANMWR,terrestrial/freshWater,biological-birds,
Vernon Byrd,Unrecoverable,no info,marineBirds,807,Normal,1989,1992,NA,no contact info,ANMWR,marine,biological-birds,
Vernon Byrd,SentData,hydrocarbon database,marineBirds,807,Low,1989,1992,NA,NA,ANMWR,marine,biological-birds,
Nora Foster,Unrecoverable,project data - origils lost,inverts,809,Normal,2002,2003,NA,data lost,UAF,marine,biological-benthicInverts,
John Whitney,Replied,project data,habitat,811,Normal,1999,1999,NA,NA,NOAA,marine,ecosystem/habitat,
Dan Esler,Replied,data is with EVOSTC,marineBirds,812,Normal,1999,2000,NA,NA,EVOS,marine,biological-birds,
Dan Esler,Replied,data is with EVOSTC,marineBirds,815,Normal,2011,2011,NA,NA,EVOS,marine,biological-birds,
Mike Gracz,Emailed,Project Data - follow-up with Will Schlein,mapping,816,Normal,2003,2003,NA,NA,Cook Inletkeeper,marine,ecosystem/habitat,
Alex Wertheimer,Emailed,project data follow-up,fish,818,Normal,1995,1998,NA,NA,NOAA,marine,biological-fish,
Alex Wertheimer,Emailed,hydrocarbon DB,fish,820,Normal,1989,1992,NA,NA,NOAA,marine,biological-fish,
Dold Schell,Replied,Project Data,fish,822,High,1996,1998,NA,NA,UAF,marine,biological-fish,
Dold Schell,Emailed,Project Data,mammals,824,Normal,1999,2001,NA,NA,UAF,marine,biological-mammals,
Jeff Olsen,Replied,Release numbers in fil report,fish,828,Normal,1994,1994,NA,NA,PWSAC,marine,biological-fish,
Merlyn Schelske,Unrecoverable,Field surveys,fish,832,Normal,1997,1998,NA,data lost,USFS,marine,biological-fish,
Merlyn Schelske,Unrecoverable,Interview transcripts,fish,832,Normal,1997,1998,NA,data lost,USFS,marine,biological-fish,
Glenn Ford,Published,hydrocarbon database + no fil report,marineBirds,836,Normal,1989,1991,NA,NA,Ecological Consulting,marine,biological-birds,
Dan Moore,Unrecoverable,"no fil report, no info",fish,843,Normal,1994,1994,NA,no contact info,USGS,marine,biological-fish,
Jennifer Nielsen,Replied,follow-up with Philip,fish,845,High,2000,2002,NA,NA,USGS,marine,biological-fish,
Walter Megack,Emailed,Follow-up with Walter,fish,847,Normal,1997,2000,NA,NA,Port Graham,marine,biological-fish,
Keith Miles,Emailed,with USGS otter data?,mammals,855,Normal,2009,2009,NA,NA,USGS,marine,biological-mammals,
Lindsey Hayes,Replied,Ask David Irons,marineBirds,859,Normal,1994,1994,NA,NA,USFWS,marine,biological-birds,
Evelyn Brown,Emailed,subject to data policy,fish,872,Normal,2002,2003,NA,NA,ADFG/independent,marine,biological-fish,
Brad Andres,SentData,hydrocarbon database,marineBirds,882,Normal,1992,1992,NA,NA,USFWS,marine,biological-birds,
Brad Andres,SentData,hydrocarbon database,marineBirds,884,Normal,1994,1994,NA,NA,USFWS,marine,biological-birds,
Brad Andres,SentData,hydrocarbon database,marineBirds,885,Normal,1989,1992,NA,NA,USFWS,marine,biological-birds,
John Whitney,Replied,project data,habitat,890,Normal,2002,2002,NA,NA,NOAA,marine,ecosystem/habitat,
Carl Schoch,Replied,project data,habitat,892,Normal,2003,2004,NA,NA,PWSSC,marine,ecosystem/habitat,
Don Calkins,Emailed,no report,mammals,903,Normal,1989,1989,NA,NA,Alaska SeaLife Center,marine,biological-mammals,
Not Available,Unrecoverable,no info or report,marineBirds,905,Normal,1989,1989,NA,no contact info,NA,marine,biological-birds,
Not Available,Unrecoverable,no info or report,anthropogenic,907,Normal,1989,1991,NA,no contact info,NA,NA,social,
Charlie Trowbridge,Published,hydrocarbon database,inverts,914,Normal,1989,1992,NA,NA,ADFG,marine,biological-benthicInverts,
Charlie Trowbridge,Published,hydrocarbon database,inverts,916,Normal,1989,1992,NA,NA,ADFG,marine,biological-benthicInverts,
Joan Braddock,Unrecoverable,project data - origils lost,oil,918,Normal,1995,1997,NA,non digital,UAF,marine,chemical,
Mark Udevitz,Replied,dataset,mammals,920,Normal,1993,1993,NA,NA,USGS,marine,biological-mammals,
Asit Mazumder,Replied,project data,terrestrial,923,Normal,2003,2003,NA,NA,U. Vic,terrestrial/freshWater,chemical,
Jim Gibeaut,Emailed,project data,oil,928,Normal,1993,1993,NA,NA,Texas A&M,marine,chemical,
Jim Gibeaut,Emailed,project data,oil,929,Normal,1995,1996,NA,NA,Texas A&M,marine,chemical,
Kathrin Sundet,Replied,project data,habitat,932,Normal,1992,1993,NA,NA,ADFG,marine,ecosystem/habitat,
James Faro,Unrecoverable,project data,oil,933,Normal,1992,1992,NA,data lost,ADFG,marine,chemical,
James Faro,Unrecoverable,project data,terrestrial,934,Normal,1989,1992,NA,data lost,ADFG,terrestrial/freshWater,biological-mammals,
Douglas Wolfe,Unrecoverable,project data,oil,935,Normal,2004,2006,NA,no contact info,NOAA,marine,chemical,
Robert Olson,Unrecoverable,project data,habitat,936,Normal,1995,1995,NA,no contact info,USGS,marine,ecosystem/habitat,
Art Weiner,Unrecoverable,project data,habitat,937,Normal,1993,1995,NA,no contact info,ADNR,marine,physical,
Jack Anderson,Unrecoverable,project data,oil,938,Normal,1996,1996,NA,no contact info,Columbia analysitcal services,marine,chemical,
Malin Babcock,Unrecoverable,"project data - Retired, no info",fish,939,Normal,1993,1993,NA,no contact info,ADFG,marine,biological-fish,
Malin Babcock,Published,"project data - retired, no info.",oil,940,Normal,1991,1992,NA,no contact info,ADFG,marine,chemical,origUnrecoverable
Dave Erikson,Emailed,project data,habitat,941,Normal,1999,1999,NA,NA,URS,marine,ecosystem/habitat,
Patty Brown-Schwalenberg,Unrecoverable,project data,inverts,942,Normal,1995,1999,NA,no contact info,Chugach Regional Resources Commission,marine,biological-benthicInverts,
Christine Brodersen,Replied,monitoring data,oil,943,Normal,1997,1999,NA,NA,NOAA,marine,chemical,
Christine Brodersen,Replied,"""Shoreline Cleanup"" project documentation",oil,943,Normal,1996,1999,NA,NA,NOAA,marine,chemical,
Gary Shigeka,Replied,project data,inverts,946,Normal,2007,2007,NA,NA,ADFG,marine,biological-benthicInverts,
Glenn Ford,Unrecoverable,model - no data,modeling,950,Normal,1997,2000,NA,no data generated,Ecological Consulting,marine,ecosystem/habitat,
Mark Willette,Replied,670-Dataeset,fish,952,Normal,2003,2006,NA,NA,ADFG,marine,biological-fish,
Gary Thomas,Emailed,320-N dataset,plankton,957,Normal,1994,1999,NA,NA,U Miami,marine,biological-plankton,
Kenneth Goldman,Replied,#639 Dataset,oceanography,964,High,2004,2004,NA,NA,ADFG,marine,physical,
Peter McRoy,Replied,#320-G dataset,plankton,966,Normal,1994,1999,NA,NA,UAF,marine,biological-plankton,
Dia Stram,Replied,#671-dataset,oceanography,968,High,2002,2002,NA,NA,NOAA,marine,physical,
